"","code_location","pretty_location","group","date","code_name","value"
"284","Franklin","Franklin","foster_care_trend",2007,"trend_0",3.9
"285","Garfield","Garfield","foster_care_trend",2007,"trend_0",6.95777777777778
"286","Grant","Grant","foster_care_trend",2007,"trend_0",6.14
"287","Grays_Harbor","Grays Harbor","foster_care_trend",2007,"trend_0",11.51
"288","Island","Island","foster_care_trend",2007,"trend_0",3.18
"289","Jefferson","Jefferson","foster_care_trend",2007,"trend_0",3.15
"290","King","King","foster_care_trend",2007,"trend_0",2.53
"291","Kitsap","Kitsap","foster_care_trend",2007,"trend_0",5.7
"292","Kittitas","Kittitas","foster_care_trend",2007,"trend_0",7.24
"293","Klickitat","Klickitat","foster_care_trend",2007,"trend_0",6.32
"294","Lewis","Lewis","foster_care_trend",2007,"trend_0",5.54
"295","Lincoln","Lincoln","foster_care_trend",2007,"trend_0",6.95777777777778
"296","Mason","Mason","foster_care_trend",2007,"trend_0",7.54
"297","Okanogan","Okanogan","foster_care_trend",2007,"trend_0",7.56
"298","Pacific","Pacific","foster_care_trend",2007,"trend_0",9.79
"299","Pend_Oreille","Pend Oreille","foster_care_trend",2007,"trend_0",6.95777777777778
"300","Pierce","Pierce","foster_care_trend",2007,"trend_0",5.11
"301","San_Juan","San Juan","foster_care_trend",2007,"trend_0",6.95777777777778
"302","Skagit","Skagit","foster_care_trend",2007,"trend_0",4.63
"303","Skamania","Skamania","foster_care_trend",2007,"trend_0",6.95777777777778
"304","Snohomish","Snohomish","foster_care_trend",2007,"trend_0",3.54
"305","Spokane","Spokane","foster_care_trend",2007,"trend_0",6.48
"306","Stevens","Stevens","foster_care_trend",2007,"trend_0",3.85
"307","Thurston","Thurston","foster_care_trend",2007,"trend_0",4.36
"308","Wahkiakum","Wahkiakum","foster_care_trend",2007,"trend_0",6.95777777777778
"309","Walla_Walla","Walla Walla","foster_care_trend",2007,"trend_0",3.68
"310","Whatcom","Whatcom","foster_care_trend",2007,"trend_0",5.16
"311","Whitman","Whitman","foster_care_trend",2007,"trend_0",5.49
"312","Yakima","Yakima","foster_care_trend",2007,"trend_0",7.05
"313","Adams","Adams","foster_care_trend",2008,"trend_0",5.66111111111111
"314","Asotin","Asotin","foster_care_trend",2008,"trend_0",1.44
"315","Benton","Benton","foster_care_trend",2008,"trend_0",5.17
"316","Chelan","Chelan","foster_care_trend",2008,"trend_0",5.3
"317","Clallam","Clallam","foster_care_trend",2008,"trend_0",7.48
"318","Clark","Clark","foster_care_trend",2008,"trend_0",5.43
"319","Columbia","Columbia","foster_care_trend",2008,"trend_0",5.66111111111111
"320","Cowlitz","Cowlitz","foster_care_trend",2008,"trend_0",5
"321","Douglas","Douglas","foster_care_trend",2008,"trend_0",1.55
"322","Ferry","Ferry","foster_care_trend",2008,"trend_0",5.66111111111111
"323","Franklin","Franklin","foster_care_trend",2008,"trend_0",3.78
"324","Garfield","Garfield","foster_care_trend",2008,"trend_0",5.66111111111111
"325","Grant","Grant","foster_care_trend",2008,"trend_0",3.82
"326","Grays_Harbor","Grays Harbor","foster_care_trend",2008,"trend_0",9.96
"327","Island","Island","foster_care_trend",2008,"trend_0",3
"328","Jefferson","Jefferson","foster_care_trend",2008,"trend_0",4.48
"329","King","King","foster_care_trend",2008,"trend_0",2.17
"330","Kitsap","Kitsap","foster_care_trend",2008,"trend_0",5.25
"331","Kittitas","Kittitas","foster_care_trend",2008,"trend_0",5.11
"332","Klickitat","Klickitat","foster_care_trend",2008,"trend_0",7.95
"333","Lewis","Lewis","foster_care_trend",2008,"trend_0",4.72
"334","Lincoln","Lincoln","foster_care_trend",2008,"trend_0",5.66111111111111
"335","Mason","Mason","foster_care_trend",2008,"trend_0",3.21
"336","Okanogan","Okanogan","foster_care_trend",2008,"trend_0",5.86
"337","Pacific","Pacific","foster_care_trend",2008,"trend_0",6.95
"338","Pend_Oreille","Pend Oreille","foster_care_trend",2008,"trend_0",5.66111111111111
"339","Pierce","Pierce","foster_care_trend",2008,"trend_0",5.92
"340","San_Juan","San Juan","foster_care_trend",2008,"trend_0",5.66111111111111
